ঙ্ক ঙ্কা ঙ্কি ঙ্কী ঙ্কু ঙ্কূ ঙ্কে ঙ্কো
ঙ্ক্য ঙ্ক্যা ঙ্ক্যি ঙ্ক্যী ঙ্ক্যু ঙ্ক্যূ ঙ্ক্যে ঙ্ক্যো
ঙ্ক্ষ ঙ্ক্ষ ঙ্ক্ষা ঙ্ক্ষি ঙ্ক্ষী ঙ্ক্ষু ঙ্ক্ষূ ঙ্ক্ষে ঙ্ক্ষো
ঙ্খ ঙ্খ ঙ্খি ঙ্খী ঙ্খু ঙ্খূ ঙ্খে ঙ্খো
ঙ্গ ঙ্গা ঙ্গি ঙ্গী ঙ্গু ঙ্গূ ঙ্গে ঙ্গো 
ঙ্গ্য ঙ্গ্যা ঙ্গ্যি ঙ্গ্যী ঙ্গ্যু ঙ্গ্যূ ঙ্গ্যে ঙ্গ্যো
ঙ্ঘ ঙ্ঘা ঙ্ঘি ঙ্ঘী ঙ্ঘু ঙ্ঘূ ঙ্ঘে ঙ্ঘো 
ঙ্ঘ্য ঙ্ঘ্যা ঙ্ঘ্যি ঙ্ঘ্যী ঙ্ঘ্যু ঙ্ঘ্যূ ঙ্ঘ্যে ঙ্ঘ্যো
ঙ্ঘ্রা ঙ্ঘ্রি ঙ্ঘ্রী ঙ্ঘ্রু ঙ্ঘ্রূ ঙ্ঘ্রে ঙ্ঘ্রো
ঙ্ম ঙ্মা ঙ্মি ঙ্মী ঙ্মু ঙ্মূ ঙ্মে ঙ্মো
চ্চ চ্চা চ্চি চ্চী চ্চু চ্চূ চ্চে চ্চো
চ্ছ চ্ছা চ্ছি চ্ছী চ্ছু চ্ছূ চ্ছৃ চ্ছে চ্ছো
চ্ছ্ব চ্ছ্বা চ্ছ্বি চ্ছ্বী চ্ছ্বু চ্ছ্বূ চ্ছ্বে চ্ছ্বো
চ্ছ্র চ্ছ্রা চ্ছ্রি চ্ছ্রী চ্ছ্রু চ্ছ্রূ চ্ছ্রে চ্ছ্রো
চ্ঞ চ্ঞা চ্ঞি চ্ঞী চ্ঞু চ্ঞূ চ্ঞে চ্ঞো
চ্য চ্যা চ্যি চ্যী চ্যু চ্যূ চ্যে চ্যো
ছ্য ছ্যা ছ্যি ছ্যী ছ্যু ছ্যূ ছ্যে ছ্যো
জ্জ জ্জা জ্জি জ্জী জ্জু জ্জূ জ্জে জ্জো
জ্জ্ব জ্জ্বা জ্জ্বি জ্জ্বী জ্জ্বু জ্জ্বূ জ্জ্বে জ্জ্বো
জ্ঝ জ্ঝা জ্ঝি জ্ঝী জ্ঝু জ্ঝূ জ্ঝে জ্ঝো
জ্ঞ জ্ঞা জ্ঞি জ্ঞী জ্ঞু জ্ঞূ জ্ঞে জ্ঞো
জ্ব জ্বা জ্বি জ্বী জ্বু জ্বূ জ্বে জ্বো
জ্য জ্যা জ্যি জ্যী জ্যু জ্যূ জ্যে জ্যো
জ্র জ্রা জ্রি জ্রী জ্রু জ্রূ জ্রে জ্রো
ঞ্চ ঞ্চা ঞ্চি ঞ্চী ঞ্চু ঞ্চূ ঞ্চে ঞ্চো
ঞ্ছ ঞ্ছা ঞ্ছি ঞ্ছী ঞ্ছু ঞ্ছূ ঞ্ছে ঞ্ছো
ঞ্জ ঞ্জা ঞ্জি ঞ্জী ঞ্জু ঞ্জূ ঞ্জে ঞ্জো
ঞ্ঝ ঞ্ঝা ঞ্ঝি ঞ্ঝী ঞ্ঝু ঞ্ঝূ ঞ্ঝে ঞ্ঝো
ট্ট ট্টা ট্টি ট্টী ট্টু ট্টূ ট্টে ট্টো
ট্ব ট্বা ট্বি ট্বী ট্বু ট্বূ ট্বে ট্বো
ট্ম ট্মা ট্মি ট্মী ট্মু ট্মূ ট্মে ট্মো
ট্য ট্যা ট্যি ট্যী ট্যু ট্যূ ট্যে ট্যো
ট্র ট্রা ট্রি ট্রী ট্রু ট্রূ ট্রে ট্রো
ট্র্য ট্র্যা ট্র্যি ট্র্যী ট্র্যু ট্র্যূ ট্র্যে ট্র্যো
ঠ্য ঠ্যা ঠ্যি ঠ্যী ঠ্যু ঠ্যূ ঠ্যে ঠ্যো 
ড্ড ড্ডা ড্ডি ড্ডী ড্ডু ড্ডূ ড্ডে ড্ডো
ড্ম ড্মা ড্মি ড্মী ড্মু ড্মূ ড্মে ড্মো
ড্ব ড্বা ড্বি ড্বী ড্বু ড্বূ ড্বে ড্বো
ড্য ড্যা ড্যি ড্যী ড্যু ড্যূ ড্যে ড্যো
ড্র ড্রা ড্রি ড্রী ড্রু ড্রূ ড্রে ড্রো
ড়্গ ড়্গা ড়্গি ড়্গী ড়্গু ড়্গূ ড়্গে ড়্গো
ঢ্য ঢ্যা ঢ্যি ঢ্যী ঢ্যু ঢ্যূ ঢ্যে ঢ্যো
ঢ্র ঢ্রা ঢ্রি ঢ্রী ঢ্রু ঢ্রূ ঢ্রে ঢ্রো
ণ্ট ণ্টা ণ্টি ণ্টী ণ্টু ণ্টূ ণ্টে ণ্টো
ণ্ঠ ণ্ঠা ণ্ঠি ণ্ঠী ণ্ঠু ণ্ঠূ ণ্ঠে ণ্ঠো
